Player ID,Player Name,Team,Type
132,Ryan Rickelton,Mumbai Indians,BAT
133,DL Chahar,Mumbai Indians,BOWL
134,G Coetzee,Gujarat Titans,BOWL
135,Akash Deep,Lucknow Super Giants,BOWL
136,TU Deshpande,Rajasthan Royals,BOWL
137,LH Ferguson,Punjab Kings,BOWL
138,B Kumar,Royal Challengers Bengaluru,BOWL
139,Mukesh Kumar,Delhi Capitals,BOWL
140,AM Ghazanfar,Mumbai Indians,BOWL
141,Swastik Chikara,Royal Challengers Bengaluru,BAT
142,SB Dubey,Rajasthan Royals,BAT
143,Shaik Rasheed,Chennai Super Kings,BAT
144,Himmat Singh,Lucknow Super Giants,BAT
145,A Kamboj,Chennai Super Kings,AR
146,Arshad Khan,Gujarat Titans,AR
147,DG Nalkande,Delhi Capitals,AR
148,AS Roy,Kolkata Knight Riders,AR
149,Swapnil Singh,Royal Challengers Bengaluru,AR
150,Vansh Bedi,Chennai Super Kings,BAT
151,Kunal Singh Rathore,Rajasthan Royals,BAT
152,Gurnoor Brar,Gujarat Titans,BOWL
153,Mukesh Choudhary,Chennai Super Kings,BOWL
154,Arjun Tendulkar,Mumbai Indians,BOWL
155,Zeeshan Ansari,Sunrisers Hyderabad,BOWL
156,M Siddharth,Lucknow Super Giants,BOWL
157,Digvesh Singh,Lucknow Super Giants,BOWL
158,MK Pandey,Kolkata Knight Riders,BAT
159,SE Rutherford,Gujarat Titans,BAT
160,Shahbaz Ahmed,Lucknow Super Giants,AR
161,MM Ali,Kolkata Knight Riders,AR
162,TH David,Royal Challengers Bengaluru,AR
163,DJ Hooda,Chennai Super Kings,AR
164,WG Jacks,Mumbai Indians,AR
165,Azmatullah Omarzai,Punjab Kings,AR
166,R Sai Kishore,Gujarat Titans,AR
167,R Shepherd,Royal Challengers Bengaluru,AR
168,SH Johnson,Kolkata Knight Riders,BOWL
169,Umran Malik,Kolkata Knight Riders,BOWL
170,I Sharma,Gujarat Titans,BOWL
171,N Thushara,Royal Challengers Bengaluru,BOWL
172,JD Unadkat,Sunrisers Hyderabad,BOWL
173,Sachin Baby,Sunrisers Hyderabad,BAT
174,Harnoor Singh,Punjab Kings,BAT
175,C Andre Siddarth,Chennai Super Kings,BAT
176,Yudhvir Singh,Rajasthan Royals,AR
177,RS Hangargekar,Lucknow Super Giants,AR
178,AA Kulkarni,Lucknow Super Giants,AR
179,Ashwani Kumar,Mumbai Indians,BOWL
180,Akash Singh,Lucknow Super Giants,BOWL
181,Gurjapneet Singh,Chennai Super Kings,BOWL
182,Matthew Breetzke,Lucknow Super Giants,BAT
183,MJ Santner,Mumbai Indians,AR
184,J Yadav,Gujarat Titans,AR
185,Fazalhaq Farooqi,Rajasthan Royals,BOWL
186,KT Maphaka,Rajasthan Royals,BOWL
187,KR Sen,Punjab Kings,BOWL
188,RJW Topley,Mumbai Indians,BOWL
189,LB Williams,Mumbai Indians,BOWL
190,Priyansh Arya,Punjab Kings,AR
191,Manoj Bhandage,Royal Challengers Bengaluru,AR
192,P Dubey,Punjab Kings,AR
193,Ajay Mandal,Delhi Capitals,AR
194,Vipraj Nigam,Delhi Capitals,AR
195,Krishnan Shrijith,Mumbai Indians,BAT
196,Mohit Rathee,Royal Challengers Bengaluru,BOWL
197,Jacob Bethell,Royal Challengers Bengaluru,AR
198,Brydon Carse,Sunrisers Hyderabad,AR
199,Aaron Hardie,Punjab Kings,AR
200,Kamindu Mendis,Sunrisers Hyderabad,AR
201,PVD Chameera,Delhi Capitals,BOWL
202,NT Ellis,Chennai Super Kings,BOWL
203,S Joseph,Lucknow Super Giants,BOWL
204,Aniket Verma,Sunrisers Hyderabad,BAT
205,RA Bawa,Mumbai Indians,AR
206,Musheer Khan,Punjab Kings,AR
207,Manvanth Kumar,Delhi Capitals,AR
208,Suryansh Shedge,Punjab Kings,AR
209,K Khejroliya,Gujarat Titans,BOWL
210,Prince Yadav,Lucknow Super Giants,BOWL
211,Jamie Overton,Chennai Super Kings,AR
212,Xavier Bartlett,Punjab Kings,BOWL
213,L Ngidi,Royal Challengers Bengaluru,BOWL
214,KL Nagarkoti,Chennai Super Kings,AR
215,Abhinandan Singh,Royal Challengers Bengaluru,BOWL
216,Karim Janat,Gujarat Titans,AR
217,Pyla Avinash,Punjab Kings,BAT
218,Ramakrishna Ghosh,Chennai Super Kings,AR
219,Satyanarayana Raju,Mumbai Indians,BOWL
220,Bevon Jacobs,Mumbai Indians,BAT
221,Ashok Sharma,Rajasthan Royals,BOWL
222,Vaibhav Suryavanshi,Rajasthan Royals,BAT
223,Eshan Malinga,Sunrisers Hyderabad,BOWL
224,Tripurana Vijay,Delhi Capitals,AR
225,Madhav Tiwari,Delhi Capitals,AR
226,Vignesh Puthur,Mumbai Indians,AR
227,JC Archer,Rajasthan Royals,BOWL
